# Tiempo_dias,Posicion_AU,Velocidad_kms,a_Psi,rho_dot,I_Ni
4.970248025803581271e+01,5.814369862668574918e+00,-3.065510904923325342e+01,-3.425417001939179674e-34,-3.425417001939179674e-34,3.415417001939179630e-14
5.005005005005005358e+01,5.808215577177843869e+00,-3.066038912275547546e+01,4.263863781452863034e-35,4.263863781452863034e-35,4.163863781452863164e-15
5.039761984206428735e+01,5.802060224632834107e+00,-3.066568057312508344e+01,2.730483206313889089e-34,2.730483206313889089e-34,2.720483206313889132e-14
5.074518963407852112e+01,5.795903803229806250e+00,-3.067098342443578218e+01,-4.771104217755440969e-34,-4.771104217755440969e-34,4.761104217755441471e-14
5.109275942609275489e+01,5.789746311149692737e+00,-3.067629770120057131e+01,4.984109231752799406e-34,4.984109231752799406e-34,4.974109231752799728e-14
5.144032921810698866e+01,5.783587746558097820e+00,-3.068162342835176659e+01,-3.250671891982890273e-34,-3.250671891982890273e-34,3.240671891982890706e-14
5.178789901012123664e+01,5.777428107605299346e+00,-3.068696063124096796e+01,3.183815828163904189e-35,3.183815828163904189e-35,3.083815828163903807e-15
5.213546880213547041e+01,5.771267392426249643e+00,-3.069230933563908792e+01,2.730172776886447723e-34,2.730172776886447723e-34,2.720172776886447886e-14
5.248303859414970418e+01,5.765105599140568415e+00,-3.069766956773634092e+01,-4.664769117558470813e-34,-4.664769117558470813e-34,4.654769117558471104e-14
5.283060838616393795e+01,5.758942725852554290e+00,-3.070304135414224689e+01,4.812989777906595932e-34,4.812989777906595932e-34,4.802989777906596437e-14
5.317817817817817172e+01,5.752778770651175044e+00,-3.070842472188561700e+01,-3.082142244418752411e-34,-3.082142244418752411e-34,3.072142244418752308e-14
5.352574797019241970e+01,5.746613731610069387e+00,-3.071381969841457149e+01,2.162867555178310824e-35,2.162867555178310824e-35,2.062867555178310942e-15
5.387331776220665347e+01,5.740447606787553170e+00,-3.071922631159653960e+01,2.726550587284785798e-34,2.726550587284785798e-34,2.716550587284785954e-14
5.422088755422088724e+01,5.734280394226612287e+00,-3.072464458971823831e+01,-4.558935632961699444e-34,-4.558935632961699444e-34,4.548935632961699654e-14
5.456845734623512101e+01,5.728112091954903562e+00,-3.073007456148569716e+01,4.645972913701147298e-34,4.645972913701147298e-34,4.635972913701147206e-14
5.491602713824936188e+01,5.721942697984760962e+00,-3.073551625602424409e+01,-2.919671548490994550e-34,-2.919671548490994550e-34,2.909671548490994761e-14
5.526359693026359565e+01,5.715772210313186719e+00,-3.074096970287851249e+01,1.198819333517391040e-35,1.198819333517391040e-35,1.098819333517391047e-15
